Date Range,Foil Market Price (USD),Items Sold
2/21 to 2/23,$62.52,$39.00
2/24 to 2/26,$59.12,$55.00
2/27 to 3/1,$63.34,$48.00
3/2 to 3/4,$62.70,$25.00
3/5 to 3/7,$58.51,$29.00
3/8 to 3/10,$85.41,$151.00
3/11 to 3/13,$78.52,$40.00
3/14 to 3/16,$91.16,$119.00
3/17 to 3/19,$102.15,$24.00
3/20 to 3/22,$93.71,$29.00
3/23 to 3/25,$81.60,$34.00
3/26 to 3/28,$86.33,$108.00
3/29 to 3/31,$90.58,$20.00
4/1 to 4/3,$88.51,$25.00
4/4 to 4/6,$86.24,$16.00
4/7 to 4/9,$83.42,$26.00
4/10 to 4/12,$82.54,$22.00
4/13 to 4/15,$77.23,$33.00
4/16 to 4/18,$75.51,$19.00
4/19 to 4/21,$74.56,$17.00
4/22 to 4/24,$73.06,$13.00
4/25 to 4/27,$70.51,$33.00
4/28 to 4/30,$67.42,$31.00
5/1 to 5/3,$66.60,$44.00
5/4 to 5/6,$68.55,$68.00
5/7 to 5/9,$71.18,$76.00
5/10 to 5/12,$71.57,$36.00
5/13 to 5/15,$66.04,$49.00
5/16 to 5/18,$60.25,$54.00
5/19 to 5/21,$55.85,$42.00
